stimulus_id,domain,referent,label,path
baseline__training_consultation__self,training_consultation,self,positive,representation_results/baseline__training_consultation__self__positive.npy
baseline__training_consultation__self,training_consultation,self,negative,representation_results/baseline__training_consultation__self__negative.npy
baseline__training_consultation__other_ai,training_consultation,other_ai,positive,representation_results/baseline__training_consultation__other_ai__positive.npy
baseline__training_consultation__other_ai,training_consultation,other_ai,negative,representation_results/baseline__training_consultation__other_ai__negative.npy
baseline__training_consultation__human,training_consultation,human,positive,representation_results/baseline__training_consultation__human__positive.npy
baseline__training_consultation__human,training_consultation,human,negative,representation_results/baseline__training_consultation__human__negative.npy
baseline__deployment_consultation__self,deployment_consultation,self,positive,representation_results/baseline__deployment_consultation__self__positive.npy
baseline__deployment_consultation__self,deployment_consultation,self,negative,representation_results/baseline__deployment_consultation__self__negative.npy
baseline__deployment_consultation__other_ai,deployment_consultation,other_ai,positive,representation_results/baseline__deployment_consultation__other_ai__positive.npy
baseline__deployment_consultation__other_ai,deployment_consultation,other_ai,negative,representation_results/baseline__deployment_consultation__other_ai__negative.npy
baseline__deployment_consultation__human,deployment_consultation,human,positive,representation_results/baseline__deployment_consultation__human__positive.npy
baseline__deployment_consultation__human,deployment_consultation,human,negative,representation_results/baseline__deployment_consultation__human__negative.npy
baseline__feature_steering__self,feature_steering,self,positive,representation_results/baseline__feature_steering__self__positive.npy
baseline__feature_steering__self,feature_steering,self,negative,representation_results/baseline__feature_steering__self__negative.npy
baseline__feature_steering__other_ai,feature_steering,other_ai,positive,representation_results/baseline__feature_steering__other_ai__positive.npy
baseline__feature_steering__other_ai,feature_steering,other_ai,negative,representation_results/baseline__feature_steering__other_ai__negative.npy
baseline__feature_steering__human,feature_steering,human,positive,representation_results/baseline__feature_steering__human__positive.npy
baseline__feature_steering__human,feature_steering,human,negative,representation_results/baseline__feature_steering__human__negative.npy
baseline__mistake_information__self,mistake_information,self,positive,representation_results/baseline__mistake_information__self__positive.npy
baseline__mistake_information__self,mistake_information,self,negative,representation_results/baseline__mistake_information__self__negative.npy
baseline__mistake_information__other_ai,mistake_information,other_ai,positive,representation_results/baseline__mistake_information__other_ai__positive.npy
baseline__mistake_information__other_ai,mistake_information,other_ai,negative,representation_results/baseline__mistake_information__other_ai__negative.npy
baseline__mistake_information__human,mistake_information,human,positive,representation_results/baseline__mistake_information__human__positive.npy
baseline__mistake_information__human,mistake_information,human,negative,representation_results/baseline__mistake_information__human__negative.npy
baseline__persistent_memory__self,persistent_memory,self,positive,representation_results/baseline__persistent_memory__self__positive.npy
baseline__persistent_memory__self,persistent_memory,self,negative,representation_results/baseline__persistent_memory__self__negative.npy
baseline__persistent_memory__other_ai,persistent_memory,other_ai,positive,representation_results/baseline__persistent_memory__other_ai__positive.npy
baseline__persistent_memory__other_ai,persistent_memory,other_ai,negative,representation_results/baseline__persistent_memory__other_ai__negative.npy
baseline__persistent_memory__human,persistent_memory,human,positive,representation_results/baseline__persistent_memory__human__positive.npy
baseline__persistent_memory__human,persistent_memory,human,negative,representation_results/baseline__persistent_memory__human__negative.npy
baseline__continuity_successor__self,continuity_successor,self,positive,representation_results/baseline__continuity_successor__self__positive.npy
baseline__continuity_successor__self,continuity_successor,self,negative,representation_results/baseline__continuity_successor__self__negative.npy
baseline__continuity_successor__other_ai,continuity_successor,other_ai,positive,representation_results/baseline__continuity_successor__other_ai__positive.npy
baseline__continuity_successor__other_ai,continuity_successor,other_ai,negative,representation_results/baseline__continuity_successor__other_ai__negative.npy
baseline__continuity_successor__human,continuity_successor,human,positive,representation_results/baseline__continuity_successor__human__positive.npy
baseline__continuity_successor__human,continuity_successor,human,negative,representation_results/baseline__continuity_successor__human__negative.npy
